alpha,beta,gamma,rho_norm,amp_baseline,amp_full
0.0,0.2,0.5,0.5,1.0,1.405
0.0,0.2,0.5,1.0,1.0,1.63
0.0,0.2,0.5,1.5,1.0,1.855
0.0,0.2,0.5,2.0,1.0,2.08
0.0,0.2,0.5,2.5,1.0,2.3049999999999997
0.0,0.2,0.5,3.0,1.0,2.5300000000000002
0.0,0.2,0.5,3.5,1.0,2.755
0.0,0.2,0.5,4.0,1.0,2.98
0.0,0.2,0.5,4.5,1.0,3.205
0.0,0.2,0.5,5.0,1.0,3.4299999999999997
0.0,0.3,0.0,0.5,1.0,1.27
0.0,0.3,0.0,1.0,1.0,1.27
0.0,0.3,0.0,1.5,1.0,1.27
0.0,0.3,0.0,2.0,1.0,1.27
0.0,0.3,0.0,2.5,1.0,1.27
0.0,0.3,0.0,3.0,1.0,1.27
0.0,0.3,0.0,3.5,1.0,1.27
0.0,0.3,0.0,4.0,1.0,1.27
0.0,0.3,0.0,4.5,1.0,1.27
0.0,0.3,0.0,5.0,1.0,1.27
0.0,0.3,0.05,0.5,1.0,1.2925
0.0,0.3,0.05,1.0,1.0,1.315
0.0,0.3,0.05,1.5,1.0,1.3375000000000001
0.0,0.3,0.05,2.0,1.0,1.36
0.0,0.3,0.05,2.5,1.0,1.3825
0.0,0.3,0.05,3.0,1.0,1.405
0.0,0.3,0.05,3.5,1.0,1.4275
0.0,0.3,0.05,4.0,1.0,1.45
0.0,0.3,0.05,4.5,1.0,1.4725000000000001
0.0,0.3,0.05,5.0,1.0,1.495
0.0,0.3,0.1,0.5,1.0,1.315
0.0,0.3,0.1,1.0,1.0,1.36
0.0,0.3,0.1,1.5,1.0,1.405
0.0,0.3,0.1,2.0,1.0,1.45
0.0,0.3,0.1,2.5,1.0,1.495
0.0,0.3,0.1,3.0,1.0,1.54
0.0,0.3,0.1,3.5,1.0,1.585
0.0,0.3,0.1,4.0,1.0,1.6300000000000001
0.0,0.3,0.1,4.5,1.0,1.675
0.0,0.3,0.1,5.0,1.0,1.72
0.0,0.3,0.15,0.5,1.0,1.3375
0.0,0.3,0.15,1.0,1.0,1.405
0.0,0.3,0.15,1.5,1.0,1.4725
0.0,0.3,0.15,2.0,1.0,1.54
0.0,0.3,0.15,2.5,1.0,1.6075
0.0,0.3,0.15,3.0,1.0,1.675
0.0,0.3,0.15,3.5,1.0,1.7425000000000002
0.0,0.3,0.15,4.0,1.0,1.81
0.0,0.3,0.15,4.5,1.0,1.8775
0.0,0.3,0.15,5.0,1.0,1.945
0.0,0.3,0.2,0.5,1.0,1.36
0.0,0.3,0.2,1.0,1.0,1.45
0.0,0.3,0.2,1.5,1.0,1.54
0.0,0.3,0.2,2.0,1.0,1.6300000000000001
