null_error,k_predict,k_shuffle,noise_fraction,seed
18.053998248438305,30,50,0.1,42
17.49222480464457,30,50,0.1,42
17.119502982538584,30,50,0.1,42
17.166668743417183,30,50,0.1,42
14.959436613130325,30,50,0.1,42
17.23221195421388,30,50,0.1,42
16.55181528643918,30,50,0.1,42
17.74440234010643,30,50,0.1,42
15.938253971336572,30,50,0.1,42
16.86010664579176,30,50,0.1,42
18.12249750924594,30,50,0.1,42
17.279160860567004,30,50,0.1,42
16.457256091559827,30,50,0.1,42
16.89368910660573,30,50,0.1,42
16.76755338523555,30,50,0.1,42
17.121028329307773,30,50,0.1,42
14.781441464444605,30,50,0.1,42
17.76336287889135,30,50,0.1,42
15.41842090675074,30,50,0.1,42
15.391290250107616,30,50,0.1,42
17.26971712281931,30,50,0.1,42
17.15774534890941,30,50,0.1,42
18.14963660864606,30,50,0.1,42
15.61867387095933,30,50,0.1,42
16.013987539584907,30,50,0.1,42
15.347934288166545,30,50,0.1,42
16.4209632462491,30,50,0.1,42
17.0509344638291,30,50,0.1,42
17.130207816799224,30,50,0.1,42
16.872493220698765,30,50,0.1,42
16.244602460132977,30,50,0.1,42
16.59498297596175,30,50,0.1,42
18.433041518500787,30,50,0.1,42
17.604716839349692,30,50,0.1,42
16.878862883855867,30,50,0.1,42
17.963196203308513,30,50,0.1,42
17.958728210272994,30,50,0.1,42
17.978027677335128,30,50,0.1,42
17.46992191400372,30,50,0.1,42
16.468710652587642,30,50,0.1,42
16.78488538158109,30,50,0.1,42
17.444775151313635,30,50,0.1,42
15.888636034917099,30,50,0.1,42
16.117456183752857,30,50,0.1,42
17.741068657378904,30,50,0.1,42
16.42302327840931,30,50,0.1,42
17.96674217371062,30,50,0.1,42
15.737661640972046,30,50,0.1,42
17.902508562600723,30,50,0.1,42
15.911865881716697,30,50,0.1,42
17.50766465720966,30,50,0.1,42
17.212512181810517,30,50,0.1,42
17.7896526937634,30,50,0.1,42
16.055331077745738,30,50,0.1,42
17.081398804430435,30,50,0.1,42
18.450996373435046,30,50,0.1,42
15.443255568312782,30,50,0.1,42
16.694602084757143,30,50,0.1,42
17.693999508863588,30,50,0.1,42
15.636451798020694,30,50,0.1,42
16.442635504366137,30,50,0.1,42
15.566344028618595,30,50,0.1,42
17.338129879358572,30,50,0.1,42
18.38658217669749,30,50,0.1,42
17.060747756424554,30,50,0.1,42
16.22588079405724,30,50,0.1,42
15.755779043200649,30,50,0.1,42
17.013026199777713,30,50,0.1,42
15.370414509766466,30,50,0.1,42
17.254924070768148,30,50,0.1,42
15.133195372120833,30,50,0.1,42
17.15680472614762,30,50,0.1,42
17.05090382687709,30,50,0.1,42
16.457987509007037,30,50,0.1,42
18.07075773161467,30,50,0.1,42
16.887808267907857,30,50,0.1,42
18.741136950454017,30,50,0.1,42
17.65608296680442,30,50,0.1,42
16.48446441320892,30,50,0.1,42
15.66723544039175,30,50,0.1,42
16.24002352268901,30,50,0.1,42
