star_index,delta_R_signed,delta_R_abs,R_after,E_real_after,source_id,ruwe,aen,phot_g_mean_mag
253,-0.0026686575495851,0.0026686575495851,0.8411392705729902,14.166734701082556,5.58869777460361e+16,1.1365254,,14.330101
254,0.0046105672596244,0.0046105672596244,0.8484184953821998,14.267154858687086,5.686169480405312e+16,1.0620921,,8.033154
255,0.0030497240752517,0.0030497240752517,0.846857652197827,14.226454088140471,5.766090231874496e+16,1.2184714,,14.540353
256,-0.0069174139862502,0.0069174139862502,0.8368905141363251,14.097148403769236,6.086834953632858e+16,1.012753,,13.932785
257,-0.0037997044173442,0.0037997044173442,0.8400082237052311,14.166734701082556,6.156306908527744e+16,1.1887887,,15.234828
258,-0.0024407867155122,0.0024407867155122,0.841367141407063,14.166734701082556,6.267099884912755e+16,1.0796592,,9.541726
259,-0.0045000730520854,0.0045000730520854,0.8393078550704899,14.166734701082556,6.460950656781286e+16,1.0275459,,16.752235
260,-0.0031242160221411,0.0031242160221411,0.8406837121004341,14.166734701082556,6.51516688798761e+16,1.0112412,,15.343157
261,-0.0025314798515775,0.0025314798515775,0.8412764482709978,14.166734701082556,6.539830308285261e+16,1.1091595,,14.368693
262,-0.0025720785308064,0.0025720785308064,0.8412358495917689,14.166734701082556,6.899140400181146e+16,1.1377299,,14.071927
263,0.003194253862145,0.003194253862145,0.8470021819847203,14.267154858687086,6.911674832739366e+16,1.2211262,,14.012529
264,0.0009270437792507,0.0009270437792507,0.8447349719018261,14.226454088140471,1.444189668199831e+17,1.008293,,14.794623
265,-0.0030955959259096,0.0030955959259096,0.8407123321966656,14.166734701082556,1.448357504445724e+17,0.95130813,,13.244518
266,-0.002836234642034,0.002836234642034,0.8409716934805412,14.166734701082556,1.456739562645655e+17,1.0871693,,16.76336
267,-0.0014493094274218,0.0014493094274218,0.8423586186951535,14.226454088140471,1.489460685082779e+17,1.1132354,,9.168365
268,-0.0090440287037525,0.0090440287037525,0.8347638994188228,14.097148403769236,1.4944909507780467e+17,1.0061282,,14.784808
269,-0.0032327448214086,0.0032327448214086,0.8405751833011667,14.166734701082556,3.27790574738403e+18,1.0545839,,17.469595
270,-0.0022788319971973,0.0022788319971973,0.841529096125378,14.166734701082556,3.278372902388248e+18,1.0913087,,16.209993
271,-0.0031614413522143,0.0031614413522143,0.840646486770361,14.166734701082556,3.286314640515593e+18,1.0970969,,13.662944
272,0.0022229318438913,0.0022229318438913,0.8460308599664667,14.267154858687086,3.29898180474129e+18,1.0883558,,12.939756
273,-0.0039345331974034,0.0039345331974034,0.8398733949251719,14.166734701082556,3.301795386278348e+18,1.1180011,,13.344066
274,-0.0034492313712682,0.0034492313712682,0.840358696751307,14.166734701082556,3.3032342003223014e+18,1.1186137,,13.767592
275,-0.0015379218086446,0.0015379218086446,0.8422700063139307,14.166734701082556,3.305219231127e+18,1.2305388,,13.790991
276,-0.0035453481524706,0.0035453481524706,0.8402625799701047,14.166734701082556,3.3066897248495165e+18,0.9647381,,16.165
277,-0.0035402612423535,0.0035402612423535,0.8402676668802218,14.166734701082556,3.308191314135895e+18,0.8928225,,7.0985756
278,-0.0030821966488656,0.0030821966488656,0.8407257314737097,14.226454088140471,3.3111793400622275e+18,1.0504606,,14.782955
279,-0.0033740068493877,0.0033740068493877,0.8404339212731876,14.226454088140471,3.312520946111619e+18,1.3198472,,11.554099
280,-0.002369503258913,0.002369503258913,0.8414384248636623,14.226454088140471,3.312882483575094e+18,1.1519803,,13.791429
281,-0.0052847671169935,0.0052847671169935,0.8385231610055818,14.127558623590632,3.3129109677980314e+18,1.1108434,,4.6231513
282,-0.0025186876909253,0.0025186876909253,0.84128924043165,14.226454088140471,3.313173957237082e+18,1.293994,,14.52253
283,-0.0029911644400345,0.0029911644400345,0.8408167636825408,14.226454088140471,3.314063977537054e+18,1.0475206,,4.295662
284,0.0013318332022135,0.0013318332022135,0.8451397613247889,14.226454088140471,1.3291897284706432e+16,1.2609843,,13.5160675
285,-0.0025763803236119,0.0025763803236119,0.8412315477989634,14.166734701082556,3.654007422300058e+16,1.1107395,,11.507427
286,-0.0037010160007758,0.0037010160007758,0.8401069121217994,14.166734701082556,3.878142867630477e+16,1.2709036,,11.035399
