cluster,bootstrap_id,R,real_error,null_mean
hyades,50,4.412659874298655e-06,8.78950238141996e-05,19.91883043742853
hyades,51,4.537129783021481e-06,8.518053999996396e-05,18.774102587658042
hyades,52,4.628513506472871e-06,9.167755570169553e-05,19.80712718532344
hyades,53,6.109948092721149e-06,0.00012414738557541455,20.318893661848414
hyades,54,5.786605071224803e-06,0.00011072382724700683,19.13450561843351
hyades,55,5.27154923834317e-06,0.00010083564391676051,19.128275077717536
hyades,56,4.872339751315149e-06,0.00010319802719271985,21.18038405775469
hyades,57,4.853509350096383e-06,0.0001069184147633367,22.0290942184367
hyades,58,5.962289137369356e-06,0.00012136628967413825,20.355653152320407
hyades,59,4.78619798797253e-06,9.272716655934904e-05,19.373867690464888
hyades,60,5.205289593404286e-06,0.00010385918588565368,19.952623964909748
hyades,61,5.39811075750532e-06,0.00010235165474996719,18.960643704403708
hyades,62,4.824998904377035e-06,8.523199563132937e-05,17.664666318164446
hyades,63,5.861345725949883e-06,0.00011565737189190266,19.732221455536024
hyades,64,6.749346969776363e-06,0.00011911657173248356,17.648606934254328
hyades,65,4.075697213389734e-06,7.987650522506531e-05,19.598243206745106
hyades,66,6.451368123930977e-06,0.00013390381262778396,20.755878451746618
hyades,67,4.2444277044611985e-06,7.753565016686469e-05,18.267633604730538
hyades,68,4.413945567175459e-06,8.918820544382515e-05,20.206004828668025
hyades,69,4.7425568532876035e-06,0.00010093921504377584,21.28371217601818
hyades,70,6.558724853321231e-06,0.00012519662986030237,19.088562588031856
hyades,71,5.423725537473203e-06,0.00010392492248799199,19.161169157613454
hyades,72,3.604875656588714e-06,6.611181204922158e-05,18.33955407820725
hyades,73,5.6341310849241134e-06,0.00011114094135723638,19.726367683320124
hyades,74,4.961153069756588e-06,9.815983897263023e-05,19.78569046196478
hyades,75,4.575945374790971e-06,8.819096435469596e-05,19.27273101653328
hyades,76,5.548294891075274e-06,9.801875600924929e-05,17.66646473079822
hyades,77,4.718593967580083e-06,9.49841970426236e-05,20.12976698042446
hyades,78,5.0974560238850505e-06,9.665878626889443e-05,18.962161873684096
hyades,79,5.246519936059426e-06,9.603945368681763e-05,18.305363337464275
hyades,80,5.521976520552016e-06,0.00010238214383370514,18.54085098925236
hyades,81,6.4124096514379755e-06,0.00012413604413409344,19.358720181929748
hyades,82,4.764988541971479e-06,9.198545367327913e-05,19.304443832979466
hyades,83,5.837903703388639e-06,0.00011270378872622064,19.30552377230909
hyades,84,4.541770252632438e-06,8.671090492069121e-05,19.09187389442102
hyades,85,4.952189963791638e-06,9.489332507152712e-05,19.161891156306165
hyades,86,5.221141346194931e-06,0.0001106001036780618,21.183127662051337
hyades,87,4.977699113728334e-06,9.899359550701121e-05,19.8874205220621
hyades,88,5.518167352247272e-06,0.00010034083640093465,18.1837247759568
hyades,89,4.9553722372666544e-06,8.981385128245463e-05,18.124541806771568
hyades,90,5.143880297560049e-06,0.00010813157445873937,21.021401783013992
hyades,91,5.609886109644525e-06,0.00010621164984302801,18.932942267834775
hyades,92,6.350990977525438e-06,0.00012378530532471734,19.49070716093952
hyades,93,4.480886443415788e-06,9.704634300299055e-05,21.65784476542368
hyades,94,5.042472206752331e-06,9.467257316197184e-05,18.775031230751576
hyades,95,5.4980605895467835e-06,0.00010896304460806592,19.818451039850757
hyades,96,5.486881174313859e-06,0.00010432752609600075,19.013994067230193
hyades,97,5.633536831095985e-06,0.0001063529922335264,18.87854742450238
hyades,98,4.688943093817596e-06,8.338966638723905e-05,17.78432041480497
hyades,99,5.333793871726648e-06,0.00010542871265083596,19.766176793912496
hyades,100,4.407979274494924e-06,8.272483006619701e-05,18.76706420668818
