dr2_source_id,dr3_source_id,angular_distance,Proba
66808869124393600,66808869124393600,0.1449297,1.0
66809491897360896,66809491897360896,0.09191149,1.0
66811450402457216,66811450402457216,0.065778285,1.0
66816295125702144,66816295125702144,0.07669977,1.0
66818322350220416,66818322350220416,0.019057725,1.0
66820590092840960,66820590092840960,0.14795478,1.0
66823132713476480,66823132713476480,0.06286422,1.0
66823304512166528,66823304512166528,0.4887085,1.0
66828870787370624,66828870787370624,25.538733,1.0
66831069813319936,66831069813319936,0.13010372,1.0
66832100605159424,66832100605159424,0.14195919,0.9
66834054814431232,66834054814431232,0.8041382,0.9
66837495084120320,66837495084120320,0.5849339,0.9
66838452861270272,66838452861270272,0.033915855,1.0
66846291177113088,66846291177113088,0.11760662,1.0
66847631206903040,66847631206903040,0.033952676,1.0
66850517426494208,66850517426494208,0.25862914,1.0
66852647730267264,66852647730267264,0.06275275,1.0
66863058730966528,66863058730966528,0.17536566,0.9
66867800374681344,66867800374681344,0.09268651,1.0
66885942316710784,66885942316710784,0.2823234,1.0
66886011036187392,66886011036187392,0.14739981,1.0
66894772769437952,66894772769437952,0.30275685,0.9
66897933865345920,66897933865345920,0.041678835,1.0
66898002584817280,66898002584817280,0.33141103,1.0
66899239535574400,66899239535574400,0.1574384,1.0
66903293984399872,66903293984399872,0.041514385,1.0
66911231083913600,66911231083913600,0.12984292,0.9
66926211929978880,66926211929978880,0.20337777,1.0
66930403817997696,66930403817997696,0.13585582,1.0
66939852745876736,66939848447027584,0.11397345,1.0
66957994687842176,66957994687842176,0.18329991,1.0
66960262430594816,66960262430594816,0.12886918,1.0
66960743466922624,66960743466922624,0.08361004,0.9
66969676998824576,66969676998824576,0.12069647,1.0
66974453002505088,66974453002505088,0.26007387,1.0
