source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,ruwe,parallax_error,pmra_error,pmdec_error
147872945158301184,67.88442990297246,24.74810497994556,24.101154714991157,44.89519046826367,-91.20149717677717,15.403056,0.9886598,0.03534975,0.044393256,0.03441694
149952774482415488,64.1813486737333,24.787267304626567,19.43936670919235,382.12410701384147,27.67131127139484,13.109989,1.1873564,0.015630541,0.018250205,0.012681637
3276041594138711040,53.61050192511678,6.037950049051436,17.442229040738955,-12.720722742653962,-17.20128793947854,10.547561,1.1122813,0.016783642,0.020318806,0.016886225
3277175602945236352,57.89443718332552,7.373644697552412,27.653129103681408,172.28023367599246,3.0935216521011792,13.711104,1.3329722,0.022174826,0.024463868,0.016113985
3296669944105874048,61.85554929065058,5.355364823004746,16.614790215346318,-51.61388797171548,-75.51822743424141,10.615284,1.194276,0.018829694,0.020986624,0.0136241615
3299240189974187776,63.586354018136866,8.183332811018657,15.437879924818887,-65.69861079092902,12.891968015369198,12.392045,1.0814495,0.017687278,0.019536521,0.017833143
3299407109583164288,64.28697429471693,9.062351267960848,15.68502236969053,37.476419186969785,-99.17956500158165,14.366852,1.207897,0.026122484,0.029967438,0.021054214
3303738528265028864,61.49134359773122,10.961024960705213,15.341169079255904,62.85915030026669,-1.514379168487017,17.829847,1.0056497,0.16301876,0.21614815,0.122465916
3305512074880681984,62.07748572405687,13.523848885143785,28.19541194197846,96.38055416194891,-6.895383636027673,8.535169,1.091716,0.021293709,0.024252295,0.019088656
3309143388126132224,68.73090742221045,14.057802194216942,18.090089520912976,-2.588190429268339,-181.68496749367418,13.11472,1.0808465,0.016212983,0.019059211,0.012961556
3309289520093349888,69.28547329038291,14.785275756586142,19.954175979353284,-229.02440169940525,-14.95996566845136,14.493251,1.0646737,0.027381927,0.030574976,0.020280061
