realization,purity,contamination,cluster_median,field_median,delta
15,0.5,0.5,0.8965467131411557,1.000869468960746,0.10432275581959027
16,0.5,0.5,0.8447124210742916,1.001017817734853,0.15630539666056142
17,0.5,0.5,0.8858633132593066,0.9390553749823184,0.05319206172301183
18,0.5,0.5,0.9474802058974476,1.0056647236464138,0.05818451774896616
19,0.5,0.5,0.8912601749570991,1.0035800683671066,0.11231989341000748
20,0.5,0.5,0.878814892126899,0.9901470770097855,0.11133218488288654
21,0.5,0.5,0.7466239778742974,0.9795188903336478,0.23289491245935046
22,0.5,0.5,0.8841041763997226,0.9776825071587665,0.09357833075904387
23,0.5,0.5,0.9068041834027576,0.9636419178981619,0.0568377344954043
24,0.5,0.5,0.8822551503122761,0.98877658733326,0.10652143702098393
25,0.5,0.5,0.8545533116957633,0.9717610321076952,0.11720772041193184
26,0.5,0.5,0.915090403144408,0.9614216424498188,0.04633123930541072
27,0.5,0.5,0.8492663930895601,0.9859371680879042,0.13667077499834412
28,0.5,0.5,0.8856644399069871,0.9981994256937807,0.11253498578679366
29,0.5,0.5,0.8469698910110365,1.0124915007581716,0.16552160974713515
30,0.5,0.5,0.8677435965359085,1.006914209638465,0.1391706131025564
31,0.5,0.5,0.9216264078391143,0.957117900335519,0.03549149249640471
32,0.5,0.5,0.9051592847964225,0.9570139655863703,0.051854680789947816
33,0.5,0.5,0.8732029791547564,1.028088636972043,0.15488565781728658
34,0.5,0.5,0.8711810066627068,0.9863222380437926,0.11514123138108578
35,0.5,0.5,0.8447445823282513,0.9883543394287151,0.14360975710046375
36,0.5,0.5,0.926124832097377,0.9699715085892566,0.04384667649187968
37,0.5,0.5,0.8210866353609108,0.9400346425567769,0.11894800719586618
38,0.5,0.5,0.9369796650945573,0.9640346006952973,0.027054935600740015
39,0.5,0.5,0.9144345799388895,1.0165508387491982,0.10211625881030861
40,0.5,0.5,0.8587315985027266,1.0101898197041659,0.15145822120143926
41,0.5,0.5,0.8700518953697661,0.9759691195004079,0.10591722413064175
42,0.5,0.5,0.8942361091019453,0.9678392698622433,0.07360316076029805
43,0.5,0.5,0.9028629589133479,0.98649154361883,0.08362858470548207
44,0.5,0.5,0.8947262608949564,1.0148165629024872,0.12009030200753079
45,0.5,0.5,0.9827435313901758,1.0300223166631,0.04727878527292417
46,0.5,0.5,0.9011771535534029,1.0260987232034844,0.1249215696500815
47,0.5,0.5,0.8392079147149032,0.9658876226165141,0.12667970790161087
48,0.5,0.5,0.8596289534482451,0.9665035497907597,0.10687459634251462
49,0.5,0.5,0.9174995501507377,0.999181929805592,0.08168237965485425
0,0.4,0.6,0.9237139316857432,0.9749937985446402,0.05127986685889696
1,0.4,0.6,0.8636285291062842,0.9707803648624258,0.10715183575614162
2,0.4,0.6,0.9068736475536365,1.0000521242259455,0.09317847667230894
3,0.4,0.6,0.8983040915327001,1.0263563962566602,0.12805230472396012
4,0.4,0.6,0.882954684004246,0.9704078835437229,0.08745319953947683
5,0.4,0.6,0.9491778746845201,1.0135041806447598,0.0643263059602397
6,0.4,0.6,0.9330301262206442,0.9844818466971165,0.051451720476472285
7,0.4,0.6,0.9329557645308616,0.9983308225217746,0.06537505799091303
8,0.4,0.6,0.9322882751271813,1.015997436573541,0.08370916144635965
