source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_excess_noise,visibility_periods_used,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,duplicated_source,teff_gspphot,plx_snr,pm_tot,vt_kms,log_ruwe,log_noise,tension_score,in_nss_orbit,in_nss_accel,in_any_nss,pct_bin,distance_pc,M_G,gal_l,gal_b,anomaly_class
4475881317196185728,268.5686657879008,7.377832327281468,62.162632434491314,0.02329331,-598.9631124380858,0.024148235,-288.0338664981894,0.020096816,1.0056809,0.16015865,18,11.822876,2.8875475,13.467276,10.579728,1.4822096,-28.396353,0.24983308,False,3000.2905,2668.690296168553,664.6204317589219,50.68339442446263,0.0024602101,0.06451738,0.06697759,False,False,False,Bottom 50%,16.08683482080376,10.79052298742361,33.09052561950057,16.046822587517056,Below Top 5% Threshold
3858537119090238592,158.50451241475753,4.086858870306665,27.26922675075827,0.022020366,-32.99926704875689,0.024057534,-64.35737257693717,0.025331138,1.1156824,0.045770667,13,13.985194,2.7628603,15.542181,12.779321,1.4509399,26.286058,2.1806996,False,,1238.363917188815,72.32442900405005,12.572845907751876,0.047540568,0.019436447,0.06697702,False,False,False,Bottom 50%,36.67137352811785,11.163558116066781,241.93534758637009,49.93949232725834,Below Top 5% Threshold
848194094647934848,153.1290604169604,51.37538747982892,25.13161098886214,0.014712224,22.3003379070683,0.013319923,55.879110357868925,0.013728572,1.1356003,0.027419986,25,13.277452,2.5509958,14.670983,12.1199875,1.4232903,1.7842194,0.6520028,False,3109.2883,1708.212936352317,60.16460791159801,11.348596753033148,0.05522551,0.0117480345,0.066973545,False,False,False,Bottom 50%,39.79052518532065,10.278553643350554,162.87763456241595,51.580812814388075,Below Top 5% Threshold
1893988497733997440,335.16766336864583,28.595387641247704,36.16177857798798,0.020732794,-131.6231260916,0.018795999,-487.2819794650192,0.017848423,1.1077671,0.053222485,14,13.442388,2.7595901,14.9940195,12.234429,1.4542514,-20.314926,1.2261723,False,3216.036,1744.1826052483102,504.74585172487815,66.16744700667772,0.044448465,0.022520144,0.066968605,False,False,False,Bottom 50%,27.653507081886442,11.233636913166244,87.0748616964251,-23.585024188202315,Below Top 5% Threshold
5805810454276181120,252.0946837944212,-72.97845320821952,63.42729041392924,0.014437226,-479.05227777255936,0.011840931,-532.5066968417766,0.014952508,1.0501585,0.11097477,28,10.445256,2.1537066,11.554786,9.401079,1.3622516,18.786898,0.20161568,False,3320.7864,4393.315721703083,716.2782050435551,53.533665406541445,0.021254852,0.045704205,0.06695905,False,False,False,Bottom 50%,15.766084180389178,9.456636794618273,318.2348334993325,-17.622589258655186,Below Top 5% Threshold
2163558855915068416,315.6724037191263,45.88539608945451,51.3935491443389,0.01798655,406.8303781858543,0.018875204,140.98918707066915,0.019386958,1.0219617,0.14162044,27,7.431637,1.1427221,7.9218545,6.7791324,1.2294632,-14.508731,0.12231618,False,4818.725,2857.3320895407223,430.56812177133287,39.715008949487604,0.009434615,0.05752172,0.066956334,False,False,False,Bottom 50%,19.45769491792633,5.986180051509968,87.12539110206691,-0.4779568411886212,Below Top 5% Threshold
1385028787187495424,242.94934175187475,43.16651001616365,30.15498911017688,0.012087848,-126.4292105717022,0.012428752,-87.46582318615091,0.016098723,1.0733564,0.08695073,26,9.0971155,1.2987585,9.676423,8.377665,1.2419181,-13.410278,0.15004392,False,4569.094,2494.65322666814,153.7355375683021,24.167765443843475,0.030743945,0.036209878,0.06695382,False,False,False,Bottom 50%,33.162008327919246,6.493911379854631,68.18815006627594,46.75409577305833,Below Top 5% Threshold
3423169272278001920,90.22472747628876,21.01938944574113,34.39438261468358,0.02071677,-33.43394980010944,0.018119426,-360.5570778017451,0.013368999,1.0874352,0.07283317,14,9.524015,1.5110273,10.225462,8.714435,1.26734,-2.1328938,0.17449884,False,4277.207,1660.2193896190538,362.10390132138855,49.90764626675345,0.036403406,0.030532196,0.0669356,False,False,False,Bottom 50%,29.0745151963589,7.206452590959998,188.5765328226003,-1.0407761281038612,Below Top 5% Threshold
3658911226765436032,207.2418590859257,-1.593150264188687,22.954596223215493,0.02806038,-136.9246164882465,0.026309853,-44.01607750387982,0.022530261,1.0276533,0.1352232,13,8.319911,0.89857626,8.6813135,7.7827373,1.2102551,-13.267394,0.13331948,False,5495.967,818.0429459975284,143.82546950829308,29.70212661595104,0.011846636,0.05508124,0.06692788,False,False,False,Bottom 50%,43.56426008437623,5.124259289132128,330.96812721980115,58.112277841242204,Below Top 5% Threshold
610549499710989440,134.3969425151122,15.581377287313588,20.454646410429884,0.052348796,60.07674015769896,0.05242181,20.78129221297762,0.039374724,0.8949316,0.30355003,15,5.6507916,0.2850089,5.746092,5.461083,1.1655749,-1.7119087,0.18335947,False,7751.7544,390.7376647537739,63.5694644779775,14.732551872432232,-0.04821015,0.1151277,0.066917546,False,False,False,Bottom 50%,48.888647593052355,2.2047514823041006,212.28173379062528,34.81204984471291,Below Top 5% Threshold
