max,mean,p95,top5_mean
0.6665218275854133,0.47842231679534664,0.5242076720152051,0.5382374207747611
0.5528483277224804,0.47345050368543345,0.5082863520191491,0.5095602102270276
0.5243308464461056,0.47206304688968637,0.5089583054103338,0.5016484649168795
0.5373399997900176,0.46585660525573663,0.5121117659887926,0.5075355799323116
0.524648230172526,0.4735889086599278,0.510925651457918,0.5055630196521157
0.512433232133744,0.46649741575113907,0.49947111520103016,0.49767574926156727
0.5532590198006592,0.47493653435056626,0.5151113199667022,0.5193148333719011
0.510431039395583,0.4681226019237473,0.5097800358561407,0.5027996921063327
0.5432569110172838,0.469287730168009,0.5052380861768907,0.5093086859456332
0.5364061253898686,0.4751626983625234,0.5257695523395797,0.5191542508997358
0.5106902239614123,0.46609843651683747,0.5022212642774088,0.49722161149565924
0.5185419237502862,0.4681638962699902,0.5041831155861523,0.5020072735770753
0.515531067958636,0.4701839261356517,0.5077041337155651,0.5027117742007121
0.5267547318018305,0.4669608966158453,0.5200139783033403,0.5102087476956825
0.4998908283996202,0.45989401366311206,0.49447508368984,0.4920668273425145
0.5316143440088996,0.4647682812796233,0.5105079397555322,0.5096705681965918
0.5304866600462814,0.47384321778573835,0.5108505463124544,0.5126054849193802
0.5473938988982021,0.47291973612853977,0.5459782893383791,0.5255116607995315
0.504879904001333,0.47231410195712825,0.4971889137255028,0.4973202962873747
0.6569587003617321,0.47891519849042535,0.5053555535833304,0.5302199001703632
0.5433886130404321,0.4751065708401649,0.5095695304414788,0.5065642477204022
0.5158092535469558,0.4644080280106417,0.5060483570886312,0.498493666758365
0.5465316047241813,0.4750700589614956,0.5113089479612819,0.50728615517905
0.6327902300882573,0.4759055330770225,0.5409224484564207,0.5445994521520561
0.5032384645230398,0.46468057860782286,0.4925943105476139,0.49261948720126075
0.5335045811977157,0.4664597371558482,0.5052637108834728,0.5070459786416283
0.5077404567968004,0.4678444701460906,0.50513456844077,0.5012386854303655
0.5257862249755368,0.4720412192343681,0.5025960204360342,0.5041752770751893
0.5537322796675197,0.476500022979138,0.5412863866451004,0.5180895451481486
0.5260341853429721,0.4717978806100807,0.519592534856586,0.5083739956356597
0.52959847827665,0.4690620163088847,0.5236050323212655,0.5086215200800116
0.5576870405256331,0.475420985381506,0.5259915578443967,0.5175218846389249
0.5030401275480072,0.4706430523519125,0.49701103004263175,0.4964558873291834
0.5602706824725777,0.47721861424977746,0.5110174447275686,0.5110105473156221
0.5342112945937455,0.47288140136082196,0.5086229473442901,0.5027716769296309
0.5149825879504344,0.47079912076775254,0.5045302792113995,0.5019730868925508
0.6118691770733055,0.4782067263251243,0.5192112189956294,0.5275013466633948
0.556670658592298,0.47424764587645574,0.5175435728964506,0.5155863601646676
0.5167379760422982,0.4702113383796214,0.5120739607949244,0.5101244093988948
0.5038230368567541,0.4730837011271958,0.4986128026854135,0.4964697013928422
0.5324225696613485,0.4714454388538706,0.5222049103751558,0.5172833337774879
0.5236051545565671,0.47323446030115995,0.5201791765724189,0.5123315745380699
0.5957240984469417,0.4758569546679629,0.5147323460360934,0.5237428924664786
0.652480369463165,0.4776705069593441,0.49980744375292496,0.5241283033937405
0.5745694077419188,0.47339505984078156,0.5104196009337159,0.5185070409357544
0.5167178982696709,0.47165825169550696,0.504996857244877,0.5024716778405128
